MQ-135 PPM: 9 | ADC: 162 | Temp: 27.20헍 | Humidity: 47.98%
MQ-135 PPM: 9 | ADC: 164 | Temp: 27.20헍 | Humidity: 47.96%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.20헍 | Humidity: 47.94%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.20헍 | Humidity: 47.94%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.19헍 | Humidity: 47.94%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.19헍 | Humidity: 47.91%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.19헍 | Humidity: 47.89%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.19헍 | Humidity: 47.90%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.18헍 | Humidity: 47.89%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.18헍 | Humidity: 47.91%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.18헍 | Humidity: 47.92%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.18헍 | Humidity: 47.93%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.18헍 | Humidity: 47.92%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.18헍 | Humidity: 47.92%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.18헍 | Humidity: 47.92%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.18헍 | Humidity: 47.90%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.18헍 | Humidity: 47.88%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.19헍 | Humidity: 47.88%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.19헍 | Humidity: 47.86%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.84%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.19헍 | Humidity: 47.82%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.80%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.78%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.20헍 | Humidity: 47.77%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.20헍 | Humidity: 47.77%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.20헍 | Humidity: 47.73%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.20헍 | Humidity: 47.72%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.72%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.19헍 | Humidity: 47.69%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.19헍 | Humidity: 47.68%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.67%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.65%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.67%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.19헍 | Humidity: 47.67%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.19헍 | Humidity: 47.68%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.19헍 | Humidity: 47.68%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.19헍 | Humidity: 47.68%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.68%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.19헍 | Humidity: 47.66%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.19헍 | Humidity: 47.66%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.67%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.66%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.65%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.62%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.62%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.20헍 | Humidity: 47.61%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.20헍 | Humidity: 47.61%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.20헍 | Humidity: 47.64%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.20헍 | Humidity: 47.64%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.20헍 | Humidity: 47.62%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.21헍 | Humidity: 47.62%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.62%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.61%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.61%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.21헍 | Humidity: 47.61%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.59%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.21헍 | Humidity: 47.58%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.21헍 | Humidity: 47.57%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.21헍 | Humidity: 47.56%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.21헍 | Humidity: 47.56%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.21헍 | Humidity: 47.54%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.21헍 | Humidity: 47.53%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.21헍 | Humidity: 47.51%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.50%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.50%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.47%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.21헍 | Humidity: 47.45%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.22헍 | Humidity: 47.44%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.22헍 | Humidity: 47.41%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.22헍 | Humidity: 47.39%
MQ-135 PPM: 9 | ADC: 164 | Temp: 27.22헍 | Humidity: 47.40%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.22헍 | Humidity: 47.40%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.22헍 | Humidity: 47.39%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.23헍 | Humidity: 47.43%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.23헍 | Humidity: 47.48%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.23헍 | Humidity: 47.53%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.23헍 | Humidity: 47.51%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.24헍 | Humidity: 47.48%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.24헍 | Humidity: 47.45%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.24헍 | Humidity: 47.42%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.24헍 | Humidity: 47.40%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.24헍 | Humidity: 47.36%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.24헍 | Humidity: 47.34%
MQ-135 PPM: 9 | ADC: 163 | Temp: 27.24헍 | Humidity: 47.31%
MQ-135 PPM: 9 | ADC: 165 | Temp: 27.24헍 | Humidity: 47.29%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.24헍 | Humidity: 47.25%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.24헍 | Humidity: 47.25%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.25헍 | Humidity: 47.24%
MQ-135 PPM: 9 | ADC: 164 | Temp: 27.25헍 | Humidity: 47.24%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.25헍 | Humidity: 47.24%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.25헍 | Humidity: 47.25%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.25헍 | Humidity: 47.25%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.25헍 | Humidity: 47.27%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.25헍 | Humidity: 47.30%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.25헍 | Humidity: 47.30%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.26헍 | Humidity: 47.31%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.26헍 | Humidity: 47.31%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.26헍 | Humidity: 47.30%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.26헍 | Humidity: 47.29%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.26헍 | Humidity: 47.27%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.27헍 | Humidity: 47.25%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.27헍 | Humidity: 47.25%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.27헍 | Humidity: 47.27%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.27헍 | Humidity: 47.27%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.27헍 | Humidity: 47.27%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.28헍 | Humidity: 47.26%
MQ-135 PPM: 9 | ADC: 162 | Temp: 27.28헍 | Humidity: 47.27%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.30%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.31%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.27%
MQ-135 PPM: 8 | ADC: 158 | Temp: 27.28헍 | Humidity: 47.25%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.28헍 | Humidity: 47.21%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.20%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.19%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.28헍 | Humidity: 47.17%
MQ-135 PPM: 8 | ADC: 159 | Temp: 27.28헍 | Humidity: 47.15%
MQ-135 PPM: 8 | ADC: 161 | Temp: 27.28헍 | Humidity: 47.14%
MQ-135 PPM: 8 | ADC: 160 | Temp: 27.28헍 | Humidity: 47.13%
MQ-135 PPM: 8 | ADC: 158 | Temp: 27.28헍 | Humidity: 47.11%
MQ-135 PPM: 8 | ADC: 157 | Temp: 27.29헍 | Humidity: 47.08%
MQ-135 PPM: 7 | ADC: 152 | Temp: 27.29헍 | Humidity: 47.06%
MQ-135 PPM: 8 | ADC: 154 | Temp: 27.29헍 | Humidity: 47.05%
MQ-135 PPM: 8 | ADC: 154 | Temp: 27.29헍 | Humidity: 47.07%
MQ-135 PPM: 8 | ADC: 154 | Temp: 27.29헍 | Humidity: 47.08%
MQ-135 PPM: 8 | ADC: 156 | Temp: 27.29헍 | Humidity: 47.05%
MQ-135 PPM: 8 | ADC: 155 | Temp: 27.30헍 | Humidity: 47.02%
MQ-135 PPM: 8 | ADC: 155 | Temp: 27.30헍 | Humidity: 46.99%
MQ-135 PPM: 7 | ADC: 152 | Temp: 27.30헍 | Humidity: 46.95%
MQ-135 PPM: 7 | ADC: 151 | Temp: 27.30헍 | Humidity: 46.93%
MQ-135 PPM: 7 | ADC: 151 | Temp: 27.30헍 | Humidity: 46.91%
MQ-135 PPM: 7 | ADC: 152 | Temp: 27.30헍 | Humidity: 46.90%
MQ-135 PPM: 8 | ADC: 156 | Temp: 27.30헍 | Humidity: 46.89%
