PPM,ADC Value
9,162
9,164
9,163
9,163
9,163
9,163
9,163
9,162
9,162
9,163
9,162
9,162
9,163
9,163
9,162
9,162
9,163
9,163
8,159
8,160
8,159
8,160
8,160
8,161
8,161
8,161
9,162
8,160
9,162
8,161
8,160
8,160
8,160
8,161
8,161
8,161
9,162
8,160
8,160
8,161
8,160
8,160
8,160
8,160
8,160
8,160
8,161
9,162
8,161
9,162
8,161
8,160
8,160
8,160
8,161
8,160
8,161
9,162
9,162
9,162
9,162
9,162
9,163
8,160
8,160
8,160
8,160
8,161
8,161
8,161
9,164
8,161
9,162
9,162
8,160
8,161
8,160
8,159
8,160
8,161
9,162
8,160
9,162
9,163
9,165
8,161
8,161
8,161
9,164
8,161
8,160
9,162
8,161
9,162
9,162
8,161
8,160
8,160
8,160
8,161
8,160
8,159
9,162
8,161
9,162
8,161
9,162
8,159
8,159
8,159
8,158
8,160
8,159
8,159
8,160
8,159
8,161
8,160
8,158
8,157
7,152
8,154
8,154
8,154
8,156
8,155
8,155
7,152
7,151
7,151
7,152
8,156
8,158
8,158
8,157
8,160
8,160
8,160
8,160
8,160
8,160
8,158
8,158
8,158
8,159
8,158
8,157
8,157
8,159
8,157
8,158
8,156
8,156
8,156
8,156
8,156
8,157
8,156
8,157
8,156
8,157
8,157
8,157
8,157
8,155
8,156
8,157
8,157
8,157
8,158
8,158
8,158
8,160
8,159
8,158
8,158
8,157
8,157
8,157
8,158
8,160
8,160
8,159
8,159
8,159
8,158
8,158
8,161
8,158
8,158
8,159
8,160
8,160
8,160
8,156
8,159
8,159
8,158
8,157
8,161
8,158
8,157
8,160
8,158
8,159
8,160
8,159
8,160
8,159
8,158
8,158
8,157
8,157
8,158
8,158
8,160
8,159
8,158
8,157
8,158
8,158
8,157
8,156
8,157
8,158
8,158
8,157
8,157
8,157
8,156
8,157
8,158
8,156
8,158
8,157
8,157
8,158
8,158
8,158
8,158
8,161
8,155
8,157
8,157
8,157
8,157
8,156
8,157
8,157
8,157
8,158
8,157
8,157
8,157
8,157
8,158
8,156
8,157
8,157
8,157
8,158
8,158
8,157
8,157
8,157
8,157
8,158
8,158
8,157
8,158
8,159
8,158
8,158
8,158
8,158
8,158
8,156
8,157
8,157
8,157
8,158
8,157
8,157
8,157
8,157
8,157
8,156
8,154
8,156
8,157
8,156
8,157
8,157
8,157
8,156
8,157
8,157
8,157
8,156
8,156
8,156
8,156
8,158
8,156
8,156
8,156
8,157
8,157
8,155
8,155
8,156
8,155
8,156
8,157
8,156
8,156
8,157
8,156
8,156
8,156
8,155
8,157
8,155
7,153
8,156
8,156
8,156
8,157
8,154
8,155
8,154
8,155
8,154
8,154
8,154
8,156
8,156
8,155
8,154
8,155
8,155
7,152
8,154
8,154
8,155
8,154
8,156
8,155
7,150
7,148
7,148
7,149
7,148
7,148
7,149
7,149
7,149
7,150
7,153
7,153
7,153
7,153
7,153
7,153
7,153
8,154
7,153
8,154
8,154
8,156
8,156
8,156
8,157
8,156
8,156
8,155
8,157
8,155
8,158
8,157
8,156
8,157
8,158
8,158
8,161
8,157
8,157
8,160
8,157
8,157
8,157
8,158
8,160
8,158
8,158
8,159
8,159
8,157
8,157
8,157
8,156
8,157
8,158
8,158
8,158
8,159
8,158
8,158
8,156
8,155
8,157
8,156
8,158
8,157
8,158
8,158
8,158
8,157
8,157
8,157
8,157
8,156
8,157
8,157
8,157
8,160
8,158
8,159
8,158
8,158
8,158
8,157
8,157
8,157
8,158
8,158
8,158
8,157
8,157
8,157
8,157
8,157
8,156
8,157
8,156
8,156
8,156
8,158
8,158
8,158
8,158
8,158
8,156
8,157
8,159
8,157
8,158
8,157
8,159
8,160
8,158
8,160
8,160
8,159
8,158
8,158
8,159
8,160
8,158
8,160
8,160
8,160
8,160
8,160
8,159
8,160
8,160
8,160
8,160
8,160
8,160
8,161
8,160
9,163
8,161
8,160
8,160
8,160
8,160
8,160
8,160
8,161
8,161
8,161
8,161
9,163
8,161
8,161
8,161
8,161
8,161
8,160
9,162
9,162
9,162
9,162
9,162
9,162
9,162
8,161
8,161
8,161
8,160
9,163
9,162
9,162
9,162
9,162
9,162
8,161
8,161
8,161
8,161
9,162
9,163
9,164
9,164
9,163
9,163
9,165
8,161
9,163
9,162
9,162
9,162
9,163
9,163
9,163
9,163
9,162
9,164
8,161
11,179
9,163
9,162
8,161
8,161
9,164
9,164
9,163
9,164
9,164
9,162
9,162
9,162
9,162
9,163
9,163
9,164
9,164
9,164
9,165
9,164
9,163
9,163
9,163
9,163
9,163
9,163
9,165
